filename,Color,Texture,Background,Orientation,Optical Properties,Reflection,Shape,Lighting,DOP,Category
45 degrees ( Black).JPG,0,120,30,50,7,66,600,0,1,3
45 degrees ( elevated).JPG,0,120,20,50,7,66,600,0,1,3
45 degrees (2).JPG,0,120,20,50,7,66,600,0,1,3
45 degrees (black elevated) (2).JPG,0,120,20,50,7,66,600,0,1,3
45 degrees (black elevated) (3).JPG,0,120,20,50,7,66,600,0,1,3
45 degrees Light(Black).JPG,0,120,20,50,7,66,600,0,1,3
45 degrees Light(elevated).JPG,0,120,20,50,7,66,600,0,1,3
45 degrees Light.JPG,0,120,20,50,7,66,600,1,1,3
135 degrees ( Black).JPG,0,120,30,50,7,33,600,0,1,3
135 degrees (2).JPG,0,120,20,50,7,33,600,0,1,3
135 degrees (black elevated).JPG,0,120,30,50,7,33,600,0,1,3
135 degrees (elevated) (2).JPG,0,120,20,50,7,33,600,0,1,3
135 degrees Light (black elevated).JPG,0,120,30,50,7,33,600,1,1,3
135 degrees Light (elevated) (2).JPG,0,120,20,50,7,33,600,1,1,3
135 degrees Light( Black).JPG,0,120,30,50,7,33,600,1,1,3
135 degrees Light.JPG,0,120,20,50,7,33,600,1,1,3
225 degrees (black elevated).JPG,0,120,30,50,7,33,600,0,1,3
225 degrees (Black) (2).JPG,0,120,30,50,7,33,600,0,1,3
225 degrees Light( Black).JPG,0,120,30,50,7,33,600,1,1,3
225 degrees Light(elevated) (2).JPG,0,120,20,50,7,33,600,1,1,3
225 degrees Light.JPG,0,120,20,50,7,33,600,1,1,3
225 degrees(elevated).JPG,0,120,20,50,7,33,600,0,1,3
225 degrees.JPG,0,120,20,50,7,33,600,0,1,3
315 degrees (2).JPG,0,120,20,50,7,33,600,0,1,3
315 degrees (black elevated) (2).JPG,0,120,30,50,7,33,600,0,1,3
315 degrees (black elevated) (3).JPG,0,120,30,50,7,33,600,0,1,3
315 degrees (Black) (2).JPG,0,120,30,50,7,33,600,0,1,3
315 degrees (elevated).JPG,0,120,20,50,7,33,600,0,1,3
315 degrees Light ( black elevated).JPG,0,120,30,50,7,33,600,1,1,3
315 degrees Light (elevated).JPG,0,120,20,50,7,33,600,1,1,3
315 degrees Light(Black) (2).JPG,0,120,30,50,7,33,600,1,1,3
315 degrees Light.JPG,0,120,20,50,7,33,600,1,1,3
Front view ( black).JPG,0,120,30,50,7,33,600,1,1,3
Front view (2).JPG,0,120,20,50,7,33,600,0,1,3
Front view (Light) (2).JPG,0,120,20,50,7,33,600,1,1,3
Front view( Light black).JPG,0,120,30,50,7,33,600,1,1,3
Left side (2).JPG,0,120,20,50,7,33,600,0,1,3
Left side (Black) (2).JPG,0,120,30,50,7,33,600,0,1,3
Left side (Light) (2).JPG,0,120,20,50,7,33,600,1,1,3
Left side Light(Black).JPG,0,120,30,50,7,33,600,1,1,3
Right side (2).JPG,0,120,20,50,7,33,600,0,1,3
Right side (Black).JPG,0,120,30,50,7,33,600,0,1,3
Right side (Light) (2).JPG,0,120,20,50,7,33,600,1,1,3
Right side Light(Black) (2).JPG,0,120,30,50,7,33,600,1,1,3
Top View (2).JPG,0,120,20,50,7,33,600,0,1,3
Top view (Light) (2).JPG,0,120,20,50,7,33,600,1,1,3
Top view Light ( black).JPG,0,120,30,50,7,33,600,1,1,3
Top view( Black) (2).JPG,0,120,30,50,7,33,600,0,1,3
