filename,Category,Background,Shape,Orientation,Color,Lighting,Reflection,Texture,Optical Properties,DOP
front (2).JPG,4,10,100,25,12632256,0,33,40,9,0
front light (2).JPG,4,10,100,25,12632256,1,33,40,9,0
front light.JPG,4,20,100,50,12632256,1,33,40,9,0
front side (black background).JPG,4,30,100,25,12632256,0,33,40,9,0
front side (light white background).JPG,4,10,100,50,12632256,1,33,40,9,0
front side (white background).JPG,4,10,100,50,12632256,0,33,40,9,0
front side light(black background).JPG,4,30,100,50,12632256,1,33,40,9,0
Front view (Light).JPG,4,20,100,25,12632256,1,33,40,9,0
front view light (black background).JPG,4,30,100,50,12632256,1,33,40,9,0
front view( black background).JPG,4,30,100,50,12632256,0,33,40,9,0
front.JPG,4,20,100,50,12632256,0,33,40,9,0
left side ( black background).JPG,4,30,100,50,12632256,0,33,40,9,0
left side (45 degrees).JPG,4,20,100,25,12632256,0,33,40,9,0
left side light.JPG,4,20,100,25,12632256,1,33,40,9,0
left side view (light).JPG,4,10,100,50,12632256,1,33,40,9,0
left side zoom in (45 degrees black background).JPG,4,30,200,50,12632256,0,33,40,9,0
left side zoom in (Light black background 45 degrees).JPG,4,30,100,50,12632256,1,33,40,9,0
left side(45 degrees light).JPG,4,20,100,50,12632256,1,33,40,9,0
left side(45 degrees).JPG,4,20,100,50,12632256,0,33,40,9,0
left side.JPG,4,20,100,25,12632256,0,33,40,9,0
left view light ( black background).JPG,4,30,100,50,12632256,1,33,40,9,0
left zoom in light(45 degree).JPG,4,20,100,25,12632256,1,33,40,9,0
left zoom out light ( 45 degree).JPG,4,20,100,25,12632256,1,33,40,9,0
leftside view.JPG,4,10,100,25,12632256,0,33,40,9,0
right light zoom out (45 degree).JPG,4,20,100,50,12632256,1,33,40,9,0
right light.JPG,4,10,100,50,12632256,1,33,40,9,0
right side light ( 45 degrees black background).JPG,4,30,100,50,12632256,1,33,40,9,0
right side light ( 45 degrees blackbackground).JPG,4,30,100,50,12632256,1,33,40,9,0
right side light(45 degrees white background).JPG,4,10,100,50,12632256,1,33,40,9,0
right side light.JPG,4,20,100,50,12632256,1,33,40,9,0
right side metal_nut_135 (black background).JPG,4,30,100,50,12632256,0,33,40,9,0
right side zoom in ( 45 degrees black background).JPG,4,30,100,50,12632256,0,33,40,9,0
right side zoom out (45 degree black background).JPG,4,30,100,50,12632256,0,33,40,9,0
right side.JPG,4,20,100,50,12632256,0,33,40,9,0
right view ( black background).JPG,4,30,100,50,12632256,0,33,40,9,0
right view light (45 degrees).JPG,4,30,100,50,12632256,1,33,40,9,0
right zoom in (45 degree).JPG,4,10,100,50,12632256,0,33,40,9,0
right zoom in(45 degree).JPG,4,20,100,50,12632256,0,33,40,9,0
right zoom out (45 degree).JPG,4,20,100,50,12632256,0,33,40,9,0
right zoom out( 445 degree).JPG,4,10,100,50,12632256,0,33,40,9,0
right.JPG,4,10,100,50,12632256,0,33,40,9,0
top light.JPG,4,20,100,50,12632256,1,33,40,9,0
top view (light).JPG,4,10,100,50,12632256,1,33,40,9,0
top view light ( black background).JPG,4,30,100,50,12632256,1,33,40,9,0
top view( black background).JPG,4,30,100,50,12632256,0,33,40,9,0
top view.JPG,4,10,100,50,12632256,0,33,40,9,0
top.JPG,4,20,100,50,12632256,0,33,40,9,0
